planet_name,orbital_period,semi_major_axis,planet_mass,planet_radius,stellar_mass,stellar_temp,equilibrium_temp,eccentricity,discovery_method
K2-180 b,8.865663,0.0756,11.41003981,2.46597575,0.735,5365,797.5,0.075,Transit
K2-97 b,8.407115,0.0854,174.48779544,13.45077684,1.17,4673,1566,0.207,Transit
K2-182 b,4.7369696,0.05174,20.97667486,2.71257333,0.823,5128,965.8,0.071,Transit
K2-98 b,10.1367349,0.0986,34.00763955,5.06645928,1.246,6260,1185,0.119,Transit
K2-114 b,11.390931,0.0944,638.83509807,10.59248676,0.863,4899,701.4,0.079,Transit
K2-115 b,20.2729914,0.1415,321.00669107,11.80305668,0.918,5870,696,0.063,Transit
K2-105 b,8.26726,NA,15.4,3.4,0.94,5373,805,NA,Transit
K2-121 b,5.185738,NA,51,7.16,0.71,4526,716,NA,Transit
K2-146 b,2.6446,NA,5.77,2.05,0.331,3385,NA,0.129,Transit
K2-100 b,1.6739035,0.0301,21.8,3.88,1.15,5945,1841,0,Transit
K2-110 b,13.86375,0.10207,15.9,2.592,0.738,5010,638,0.13,Transit
K2-99 b,18.24783,0.153,276.51071409,11.88151954,1.44,6069,1184,0.22,Transit
K2-199 b,3.2253993,0.0382,6.9,1.73,0.711,4491,913,0.02,Transit
K2-199 c,7.3744897,0.0662,12.4,2.85,0.711,4491,694,0.03,Transit
Kepler-595 c,12.38602,NA,3.3,1.009,0.93,NA,NA,NA,Transit
K2-280 b,19.89526,0.1461,37.1,7.5,1.03,5500,787,0.35,Transit
K2-222 b,15.38857,0.1206,8.7,2.35,0.989,5942,871,0.16,Transit
K2-216 b,2.1748,0.028,8,1.75,0.7,4503,1103,0,Transit
K2-295 b,4.024867,0.0451,106.47305,10.054473,0.74,4444,852,0,Transit
K2-157 b,0.3652575,0.00962,1.14,0.935,0.89,5334,2432,NA,Transit
HD 80606 b,111.436765,0.4603,1323.46926959,11.56766808,1.05,5565,NA,0.93183,Radial Velocity
HD 97658 b,9.4897116,NA,8.3,2.12,0.85,5212,751,0.05,Radial Velocity
HR 8799 b,170000,68,2000,13,1.5,NA,NA,NA,Imaging
HR 8799 c,69000,38,3000,13,1.5,NA,NA,NA,Imaging
HR 8799 d,37000,24,3000,13,1.5,NA,NA,NA,Imaging
HR 8799 e,NA,16.4,3178.3,13.11453,NA,7400,1150,0.15,Imaging
Lupus-TR-3 b,3.91405,0.0464,257.431,9.976,0.87,5000,NA,0,Transit
OGLE2-TR-L9 b,2.4855335,0.0308,1430.175,18.046,1.52,6933,NA,NA,Transit
OGLE-TR-10 b,3.101278,0.0434,197.046,14.011,1.14,5950,NA,NA,Transit
OGLE-TR-113 b,1.4324752,0.02289,400.449,12.251,0.779,4790,NA,NA,Transit
OGLE-TR-132 b,1.689868,0.03035,375.02,13.45,1.305,6210,2013,NA,Transit
